customer_id,customer_name,email,registration_date,customer_type
C0001,Allison Hill,donaldgarcia@example.net,2026-04-07,REGULAR
C0002,Javier Johnson,jesseguzman@example.net,2024-03-08,REGULAR
C0003,Kimberly Robinson,lisa02@example.net,2024-11-09,VIP
C0004,Daniel Gallagher,daviscolin@example.com,2025-05-26,VIP
C0005,Monica Herrera,smiller@example.net,2025-06-11,REGULAR
C0006,Laura Bush,stanleykendra@example.org,2026-02-26,REGULAR
C0007,Jamie Chavez,francisco53@example.net,2024-05-22,REGULAR
C0008,Maria Lynch,amandasanchez@example.com,2024-09-22,VIP
C0009,Margaret Hawkins DDS,perezantonio@example.com,2024-10-16,REGULAR
C0010,Thomas Bradley,jason76@example.net,2024-12-18,VIP
C0011,David Hoffman,julie69@example.com,2024-09-03,REGULAR
C0012,Brenda Snyder PhD,hernandezernest@example.net,2024-11-08,PREMIUM
C0013,James Ferrell,tasha01@example.net,2026-03-30,REGULAR
C0014,Patricia Peterson,ryan70@example.net,2026-03-20,REGULAR
C0015,Jonathan White,harrellkenneth@example.net,2025-02-10,PREMIUM
C0016,James Martin,georgetracy@example.org,2026-05-18,REGULAR
C0017,Sandra Parker,allenashley@example.org,2023-11-05,PREMIUM
C0018,Mr. Philip Cannon,donnaarroyo@example.org,2024-05-20,PREMIUM
C0019,Jenny Lewis,jenniferross@example.net,2025-07-16,PREMIUM
C0020,Joseph Martinez,calebsmith@example.net,2024-04-12,REGULAR
C0021,Benjamin Welch,carlosjohnson@example.com,2023-10-20,VIP
C0022,Michael Lewis,jenniferkhan@example.net,2025-01-03,PREMIUM
C0023,Rhonda Lee,hopkinsmichael@example.com,2024-12-27,PREMIUM
C0024,Megan Joyce,brownjessica@example.org,2024-05-02,VIP
C0025,Jerry Henderson,steven17@example.net,2023-11-19,PREMIUM
C0026,Kimberly Smith,housemelinda@example.org,2024-10-22,VIP
C0027,Dr. Steven Martin,gallowayjoseph@example.com,2024-06-11,VIP
C0028,Monica Logan,smoore@example.org,2026-06-30,PREMIUM
C0029,Kimberly Adkins,williamsthomas@example.net,2024-01-23,REGULAR
C0030,Angela Lopez,leonardjoe@example.org,2026-05-31,PREMIUM
C0031,Lauren Williams,barnesbrandy@example.net,2024-07-15,VIP
C0032,Michael Edwards,randy47@example.com,2026-05-18,REGULAR
C0033,Alexandra Howell,jonesjason@example.com,2023-12-27,REGULAR
C0034,Benjamin Sanchez,eric84@example.net,2026-07-17,VIP
C0035,Kendra Contreras,sarah12@example.com,2023-12-08,VIP
C0036,Juan Nelson,jenniferharris@example.net,2026-02-23,VIP
C0037,Danielle Odonnell,davisrodney@example.com,2023-09-21,VIP
C0038,Carlos Whitney,joycearnold@example.com,2025-04-09,PREMIUM
C0039,Tony Vazquez,amydavenport@example.net,2025-03-31,VIP
C0040,Andrew Diaz,nolanjason@example.org,2025-08-03,REGULAR
C0041,Justin Baxter,sarayoung@example.org,2026-07-08,REGULAR
C0042,Sierra Johnson,kimberly63@example.com,2024-01-25,REGULAR
C0043,Janet Williams,dwalker@example.com,2024-07-03,PREMIUM
C0044,Crystal Johnson,raymondramirez@example.org,2026-06-28,REGULAR
C0045,Martin Ross,sheila14@example.org,2025-05-01,VIP
C0046,Mrs. Linda Reed,samuel81@example.com,2026-04-15,PREMIUM
C0047,Andrew Graham,michaeljones@example.net,2026-05-09,PREMIUM
C0048,Mary Martinez,william65@example.com,2025-09-06,VIP
C0049,Cheryl Ortega,lbyrd@example.net,2025-04-18,PREMIUM
C0050,Roy Torres,russellcarpenter@example.net,2024-07-22,VIP
C0051,Michael Dixon,donnacampbell@example.net,2025-06-27,PREMIUM
C0052,Robert Potter,jeffrey32@example.org,2023-09-23,PREMIUM
C0053,Miss Patricia Gibson,jennifercruz@example.com,2024-04-27,PREMIUM
C0054,Abigail Potter,osbornejeffery@example.net,2025-02-21,REGULAR
C0055,David Charles,danderson@example.net,2025-03-08,REGULAR
C0056,Emily Fischer,usalazar@example.net,2024-11-13,REGULAR
C0057,Jill Moore,wcole@example.org,2026-02-09,REGULAR
C0058,Richard Washington,joshuajones@example.com,2024-04-17,PREMIUM
C0059,Steven Miller,jessebenson@example.net,2024-03-25,PREMIUM
C0060,Gary Owens,clarkrobert@example.net,2026-06-05,PREMIUM
C0061,Spencer Johnston,wsmith@example.com,2025-11-06,VIP
C0062,Tiffany Barnes,tracynelson@example.com,2023-09-04,REGULAR
C0063,Michael Powell,marycalhoun@example.net,2025-03-11,REGULAR
C0064,Leslie Alvarado,dayderek@example.com,2024-02-19,VIP
C0065,Garrett Gibson,kathleen64@example.com,2024-05-06,VIP
C0066,Alec Ryan,jeffrey10@example.org,2026-06-09,PREMIUM
