customer_id,customer_name
C0003,Kimberly Robinson
C0005,Monica Herrera
C0008,Maria Lynch
C0016,James Martin
C0017,Sandra Parker
C0019,Jenny Lewis
C0020,Joseph Martinez
C0021,Benjamin Welch
C0023,Rhonda Lee
C0024,Megan Joyce
C0025,Jerry Henderson
C0029,Kimberly Adkins
C0038,Carlos Whitney
C0039,Tony Vazquez
C0041,Justin Baxter
C0042,Sierra Johnson
C0044,Crystal Johnson
C0045,Martin Ross
C0050,Roy Torres
C0054,Abigail Potter
C0058,Richard Washington
C0060,Gary Owens
C0061,Spencer Johnston
C0064,Leslie Alvarado
C0065,Garrett Gibson
C0066,Alec Ryan
C0067,Alex Hernandez
C0068,Jacob Obrien
C0070,Lori Garcia
C0071,Jeffrey Wood
C0072,Steven Stevens
C0077,Peter Vaughn DDS
C0081,Diane Garcia
C0083,Julie Alexander
C0084,John Ray
C0085,Justin Butler
C0087,Brad Allen
C0090,Charles Brown
C0091,Melissa Bender
C0095,Brian Martin
C0097,Sean Murray
C0099,Cynthia Moore
C0100,Ronnie Jimenez
C0101,Juan Reyes
C0104,Amanda Garner
C0106,Charles Pitts
C0107,Marie Christian
C0108,Joshua Williamson II
C0109,Ashlee Jackson
C0117,Amanda Diaz
C0120,Michael Craig
C0124,Tracy Torres
C0125,Michael Paul
C0131,Ashley Delacruz
C0133,Kayla Rodriguez
C0135,Jill Lam
C0136,Michelle James
C0142,John Boone
C0144,Michael Parker
C0146,Eric Nguyen
C0147,Jeremy Coleman
C0150,Casey James
C0151,Amanda Smith
C0152,Donna Sullivan
C0153,Ryan Sanchez
C0154,Richard Jones
C0156,Angela Bean
C0157,Kristy Reid
C0159,Ronald Jones
C0162,Kelly Bishop MD
C0164,Brittany Miller
C0165,Kurt Hurley
C0168,Ashley Wise
C0169,Christopher Guerra
C0170,Jeremy Mitchell
C0177,Susan Smith
C0179,Taylor Carlson
C0180,Lucas Allen
C0181,Troy Stephens
C0182,Paul Kelly
C0185,Emily Collins
C0187,James Gonzales
C0191,Angela Walsh
C0192,Jessica Martinez
C0194,Matthew Wright
C0195,Deborah Green
C0197,Miss Michelle Pierce
C0201,Haley Humphrey
C0202,Caleb Hernandez
C0206,Kenneth Montgomery
C0207,David Aguirre
C0208,John Harris
C0211,Cheryl Moore
C0212,Kathy Levy
C0213,Martha Ruiz
C0215,Diana Hays
C0221,Lauren Jackson
C0222,Ashley Smith
C0226,William Evans
C0227,Rebecca Hill
C0229,Cindy Clayton
C0231,Michael Taylor
C0233,Sarah Johnson
C0240,Amy Wilson
C0241,Elizabeth Mendez
C0242,Jennifer Dunn
C0245,Michael Love
C0247,Robert Reese
C0248,Steven Andersen
C0249,Veronica Brewer
C0252,Kim Morrow
C0256,Erica Turner
C0261,Anna Hardy
C0263,Christy Lee
C0264,Jennifer Allen
C0267,Lauren Cortez
C0268,Juan Harding
C0273,Renee Browning
C0274,Robin Adams
C0281,Brent Hall
C0283,Michael Guerrero
C0285,Jill Juarez
C0290,Travis Cook
C0292,Vincent Novak
C0293,Richard Diaz
C0295,Rebecca Chambers
C0296,James Cole
C0299,Paul Sheppard
C0300,Kristin Watts
C0302,Brenda Collins
C0303,Nathan Chavez
C0304,Brian Marsh
C0306,Christina Vargas
C0307,Rebecca Ray
C0308,Kelsey Fowler
C0309,Lisa Cervantes
C0310,Eric White
C0311,John Medina
C0313,Kathleen Cohen
C0315,Patricia Simpson
C0316,Rodney Williams
C0317,Danielle Golden
C0324,Raymond Oconnor
C0325,Jennifer Donaldson
C0327,Alexis Noble
C0331,Alexandra Dominguez
C0332,Brandon Shaffer
C0333,Shelly May
C0339,Jennifer Payne
C0341,Jennifer Miles
C0343,Maria Collins
C0345,Chad Smith
C0346,Carol Martinez
C0347,Austin Joseph
C0349,Amanda Roy
C0350,Amanda Pratt
C0352,Amber Morales
C0358,Keith Graham
C0361,Christine Parker
C0365,Jacqueline Mccoy
C0366,Steven Ramos
C0367,Amber Glass
C0368,Carrie Lewis
C0369,Danielle Phillips
C0370,Jason Day
C0374,Raven Mclaughlin
C0378,Carlos Love
C0382,Bethany Daniel
C0383,Tammy Ponce
C0386,Amber Kim
C0388,Trevor Jones
C0390,Brooke Garcia
C0391,Deborah Campbell
C0395,Jeremiah Baker
C0397,Sharon Wells
C0398,Kellie Duncan
C0403,Sheryl Humphrey
C0405,Tammie Prince
C0406,Michael Garcia PhD
C0409,Sherry Johnson
C0411,Andre Watson
C0414,Tracy Fleming
C0420,James Johnson
C0421,Susan Powers
C0424,Sean Silva
C0426,Victoria Thomas
C0428,Anita Mendez
C0429,Monica Dodson
C0431,Rodney Evans
C0433,Jennifer Perez
C0435,Martha Smith
C0439,Joshua Lozano
C0440,Sara Caldwell
C0441,David Hall
C0446,Karen Carroll
C0451,Sheila Jones
C0454,Joshua Petersen
C0456,Heidi Chavez
C0460,Joanna Barrett
C0461,Sara Webb
C0462,Lisa Morris
C0465,Melissa Morse
C0471,Tammy Hughes
C0472,Priscilla Berg
C0473,Nancy Gonzalez
C0474,Nancy Wilson
C0476,Lisa Stanley
C0478,Daniel Lewis
C0482,Tiffany Jackson
C0483,Jessica Garcia
C0489,Elizabeth Eaton
C0490,Kenneth Long
C0492,Robert Phelps
C0493,Craig Carpenter
C0495,Jeffrey Smith
C0497,Matthew Miller
C0498,Angela Jones
